epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.059,2.23567,2.95617,1.15793,0.45098,0.34627,0.35411,0.14459,2.13762,1.60691,1.09799,0.0033247,0.0033247,0.0033247
2,360.956,2.19263,1.84496,1.12981,0.57832,0.41187,0.45153,0.18602,2.03295,1.3564,1.07943,0.00662507,0.00662507,0.00662507
3,537.709,2.21495,1.73239,1.14075,0.54717,0.3996,0.4284,0.17282,2.11888,1.43336,1.10361,0.00989245,0.00989245,0.00989245
4,712.412,2.24303,1.69714,1.14394,0.56874,0.43253,0.46909,0.18761,2.03225,1.44967,1.07475,0.0098515,0.0098515,0.0098515
5,887.5,2.19628,1.63973,1.13805,0.59713,0.42859,0.48461,0.20586,1.98402,1.35208,1.07812,0.009802,0.009802,0.009802
6,1063.03,2.16903,1.56853,1.13223,0.61221,0.45307,0.50867,0.21437,1.97239,1.30991,1.06792,0.0097525,0.0097525,0.0097525
7,1239.33,2.1432,1.51642,1.11611,0.61934,0.46804,0.51432,0.2149,1.94666,1.44409,1.05447,0.009703,0.009703,0.009703
8,1413.89,2.13507,1.51586,1.11199,0.60184,0.44062,0.49616,0.2102,1.95837,1.32509,1.05243,0.0096535,0.0096535,0.0096535
9,1588.35,2.11638,1.48734,1.10161,0.62519,0.4664,0.52849,0.22312,1.92319,1.29079,1.04374,0.009604,0.009604,0.009604
10,1762.48,2.10695,1.46206,1.09979,0.65722,0.4951,0.56109,0.24509,1.89209,1.21472,1.03688,0.0095545,0.0095545,0.0095545
11,1935.43,2.09533,1.4394,1.0985,0.66466,0.50711,0.56922,0.24848,1.88459,1.21687,1.03602,0.009505,0.009505,0.009505
12,2110.22,2.04679,1.40216,1.09499,0.65992,0.48021,0.54493,0.2336,1.92263,1.22956,1.0428,0.0094555,0.0094555,0.0094555
13,2284.6,2.05145,1.38884,1.09203,0.67825,0.48758,0.56462,0.24858,1.86537,1.19073,1.03608,0.009406,0.009406,0.009406
14,2459.7,2.04478,1.38826,1.08376,0.68518,0.49968,0.57313,0.25655,1.84444,1.17039,1.02371,0.0093565,0.0093565,0.0093565
15,2633.31,2.03485,1.3743,1.07927,0.66663,0.50818,0.57734,0.25715,1.84845,1.17585,1.02513,0.009307,0.009307,0.009307
16,2807.17,2.04306,1.36922,1.07527,0.67677,0.52509,0.59127,0.26247,1.83672,1.14851,1.02017,0.0092575,0.0092575,0.0092575
17,2980.23,2.00259,1.32941,1.07543,0.68066,0.50934,0.58531,0.25949,1.83566,1.17072,1.01565,0.009208,0.009208,0.009208
18,3153.69,2.0141,1.33624,1.07104,0.69759,0.51851,0.59498,0.26696,1.82194,1.12753,1.01555,0.0091585,0.0091585,0.0091585
19,3327.79,1.98825,1.30902,1.06871,0.70153,0.51722,0.59469,0.26668,1.82983,1.12429,1.01829,0.009109,0.009109,0.009109
20,3502.62,1.99621,1.32419,1.06905,0.69072,0.53676,0.60575,0.27057,1.82024,1.13424,1.01168,0.0090595,0.0090595,0.0090595
21,3677.38,1.9892,1.32638,1.07184,0.69875,0.52488,0.6021,0.26827,1.82969,1.13516,1.01695,0.00901,0.00901,0.00901
22,3851.78,2.01307,1.32293,1.07003,0.70851,0.50444,0.59065,0.26462,1.82458,1.12352,1.01743,0.0089605,0.0089605,0.0089605
23,4027.7,1.98739,1.30051,1.06369,0.70578,0.53068,0.60852,0.27495,1.80217,1.10983,1.007,0.008911,0.008911,0.008911
24,4201.74,1.96986,1.28348,1.06306,0.70574,0.53454,0.60962,0.28031,1.78178,1.10105,1.00263,0.0088615,0.0088615,0.0088615
25,4376.82,1.98229,1.29285,1.06218,0.70271,0.52337,0.5987,0.26804,1.81694,1.11882,1.01134,0.008812,0.008812,0.008812
26,4551.7,1.97491,1.26054,1.06083,0.71249,0.51822,0.60344,0.27503,1.79784,1.12336,1.00927,0.0087625,0.0087625,0.0087625
27,4726.55,1.97825,1.28907,1.05758,0.70597,0.5397,0.61348,0.2788,1.78281,1.12074,1.00611,0.008713,0.008713,0.008713
28,4900.55,1.96248,1.25715,1.05738,0.70397,0.53403,0.61051,0.27332,1.80011,1.10675,1.00673,0.0086635,0.0086635,0.0086635
29,5075.03,1.96525,1.24565,1.05998,0.71339,0.54829,0.62402,0.28322,1.78641,1.09669,1.00468,0.008614,0.008614,0.008614
30,5249.55,1.94959,1.25965,1.05201,0.71039,0.55155,0.62664,0.28502,1.77822,1.06873,1.00029,0.0085645,0.0085645,0.0085645
31,5424.24,1.9688,1.25789,1.05192,0.72213,0.54027,0.62142,0.28288,1.78289,1.08596,1.00535,0.008515,0.008515,0.008515
32,5598.96,1.96101,1.26485,1.04747,0.71283,0.54012,0.62129,0.28329,1.77755,1.09248,1.00294,0.0084655,0.0084655,0.0084655
33,5772.97,1.93496,1.23279,1.05129,0.71669,0.55602,0.63114,0.28731,1.7677,1.07171,0.99829,0.008416,0.008416,0.008416
34,5947.09,1.94264,1.24944,1.05099,0.71995,0.55344,0.63271,0.29121,1.77316,1.06152,0.99843,0.0083665,0.0083665,0.0083665
35,6121.77,1.92019,1.21532,1.04655,0.72129,0.55802,0.6356,0.28986,1.76867,1.06944,1.00154,0.008317,0.008317,0.008317
